date,open,high,low,close,volume,dividend,split
2003-01-08,10,40,10,24.35,1000,0.0,1.0
2003-01-09,24,29,20.299999,22.1,3600,0.0,1.0
2003-01-10,21.554001,21.554001,19.993999,20.448999,4912,0.0,1.0
2003-01-13,19.993999,24.504999,16.406,23.594999,5755,0.0,1.0
2003-01-14,23.893999,25.506001,22.503,22.503,6064,0.0,1.0
2003-01-15,24.245001,25.506001,22.503,22.503,3892,0.0,1.0
2003-01-16,22.1,22.1,20.344999,20.605,1632,0.0,1.0
2003-01-17,20.254,20.747999,20.254,20.396999,1061,0.0,1.0
2003-01-20,20.046,23.945999,19.747,21.202999,9978,0.0,1.0
2003-01-21,21.294001,21.749001,21.099001,21.749001,978,0.0,1.0
2003-01-22,19.045,21.502001,19.045,21.254999,2015,0.0,1.0
2003-01-23,20.098,21.398001,20.046,20.046,2019,0.0,1.0
2003-01-24,20.995001,20.995001,19.851,20.799999,1359,0.0,1.0
2003-01-27,18.299999,24.5,18.299999,20.25,3400,0.0,1.0
2003-01-28,19.993999,20.202,19.006001,19.955,1144,0.0,1.0
2003-01-29,19.799,19.799,19.149,19.201,480,0.0,1.0
2003-01-30,19.396,19.5,18.004999,18.252001,1256,0.0,1.0
2003-01-31,17.497999,18.304001,17.497999,18.304001,1090,0.0,1.0
2003-02-03,18.252001,19.396,17.497999,19.396,1484,0.0,1.0
2003-02-04,17.900999,19.006001,17.900999,19.006001,136,0.0,1.0
2003-02-05,18.096001,18.200001,18.096001,18.200001,186,0.0,1.0
2003-02-06,18.200001,19.006001,18.200001,19.006001,285,0.0,1.0
2003-02-07,18.200001,19.993999,18.200001,19.993999,551,0.0,1.0
2003-02-10,18.252001,18.746,17.004,18.746,1847,0.0,1.0
2003-02-11,17.302999,17.497999,17.302999,17.497999,58,0.0,1.0
2003-02-12,15.054,18.004999,15.054,16.9,274,0.0,1.0
2003-02-14,16.653,17.056,16.549,16.549,474,0.0,1.0
2003-02-17,15.301,16.549,15.301,16.549,98,0.0,1.0
2003-02-18,16.354,17.004,16.354,17.004,1244,0.0,1.0
2003-02-19,17.004,17.004,16.705,17.004,3055,0.0,1.0
2003-02-20,15.249,17.004,15.249,16.653,1598,0.0,1.0
2003-02-21,16.601,16.653,16.601,16.601,329,0.0,1.0
2003-02-24,16.445,16.601,16.445,16.601,78,0.0,1.0
2003-02-25,16.497,16.952,16.198,16.653,3945,0.0,1.0
2003-02-26,16.406,17.250999,16.406,16.653,336,0.0,1.0
2003-02-27,16.743999,17.004,16.743999,16.743999,2550,0.0,1.0
2003-02-28,17.004,19.201,17.004,17.094999,163,0.0,1.0
2003-03-03,16.705,17.393999,16.705,17.198999,747,0.0,1.0
2003-03-04,16.9,17.393999,16.9,17.094999,848,0.0,1.0
2003-03-05,17.004,18.200001,17.004,17.601999,1249,0.0,1.0
2003-03-06,17.056,17.094999,17.004,17.056,1475,0.0,1.0
2003-03-07,17.004,17.497999,16.796,17.094999,2025,0.0,1.0
2003-03-10,15.795,16.497,15.795,16.497,60,0.0,1.0
2003-03-11,16.743999,16.743999,16.743999,16.743999,90,0.0,1.0
2003-03-12,16.003,16.497,16.003,16.497,25836,0.0,1.0
2003-03-13,16.497,17.004,16.003,16.9,1387,0.0,1.0
2003-03-17,16.497,17.900999,16.497,17.705999,653,0.0,1.0
2003-03-19,15.795,17.004,15.002,17.004,682,0.0,1.0
