date,open,high,low,close,volume,dividend,split
2000-01-03,365.342987,381.574005,363.72699,381.574005,5108553,0.0,1.0
2000-01-04,403.979004,412.093994,381.912994,412.093994,12912570,0.0,1.0
2000-01-05,405.756989,424.186005,379.132996,384.419006,17216376,0.0,1.0
2000-01-06,386.359009,387.975006,354.027008,357.907013,10921996,0.0,1.0
2000-01-07,356.937012,356.937012,329.278015,329.278015,2888120,0.0,1.0
2000-01-10,333.011993,355.612,305.529999,313.031006,10220347,0.0,1.0
2000-01-11,318.463013,338.056,290.980988,329.778992,18136334,0.0,1.0
2000-01-12,328.130005,350.794006,322.019012,342.710999,8384548,0.0,1.0
2000-01-13,344.328003,353.381012,326.593994,328.485992,5850899,0.0,1.0
2000-01-14,332.36499,332.915009,316.846008,322.342987,10694467,0.0,1.0
2000-01-17,331.395996,343.811005,331.395996,335.921997,6164416,0.0,1.0
2000-01-18,339.477997,339.477997,326.15799,331.071991,5734628,0.0,1.0
2000-01-19,331.395996,357.552002,331.395996,357.552002,11604682,0.0,1.0
2000-01-20,363.72699,382.802002,361.496002,369.821014,12542214,0.0,1.0
2000-01-21,363.72699,380.667999,362.126007,378.921997,10422452,0.0,1.0
2000-01-24,391.208008,402.523987,390.562012,400.292999,10723581,0.0,1.0
2000-01-25,397.674988,401.765015,387.975006,392.016998,9732259,0.0,1.0
2000-01-26,392.016998,392.016998,392.016998,392.016998,0,0.0,1.0
2000-01-27,395.006989,407.696991,389.623993,393.14801,9570536,0.0,1.0
2000-01-28,394.44101,415.747986,392.825012,412.725006,13023089,0.0,1.0
2000-01-31,407.696991,421.923004,388.299011,391.628998,10577265,0.0,1.0
2000-02-01,396.058014,407.050995,394.44101,400.584015,8092058,0.0,1.0
2000-02-02,402.523987,418.302002,399.372009,401.553986,12376727,0.0,1.0
2000-02-03,401.553986,401.553986,401.553986,401.553986,0,0.0,1.0
2000-02-04,444.554993,452.960999,425.188995,429.197998,10865864,0.0,1.0
2000-02-07,434.855988,439.704987,420.678009,424.833008,8001885,0.0,1.0
2000-02-08,426.77301,450.989014,425.156006,434.855988,15944672,0.0,1.0
2000-02-09,437.765015,444.360992,424.833008,425.980988,7791732,0.0,1.0
2000-02-10,430.006012,441.062988,423.540009,432.59201,6908000,0.0,1.0
2000-02-11,433.239014,450.309998,431.622009,433.239014,14811289,0.0,1.0
2000-02-14,446.171997,461.981995,436.859985,451.990997,15683946,0.0,1.0
2000-02-15,451.020996,462.014008,439.704987,441.967987,10369726,0.0,1.0
2000-02-16,444.231995,452.313995,436.795013,442.906006,7447434,0.0,1.0
2000-02-17,445.363007,454.238007,440.028992,444.554993,8523862,0.0,1.0
2000-02-18,446.171997,454.253998,442.308014,443.309998,10934235,0.0,1.0
2000-02-21,462.337006,478.760986,459.153015,478.760986,13334308,0.0,1.0
2000-02-22,517.057983,517.057983,495.395996,499.22699,11383438,0.0,1.0
2000-02-23,503.721008,527,463.032013,465.537994,10957160,0.0,1.0
2000-02-24,469.450012,502.766998,469.450012,502.766998,9846461,0.0,1.0
2000-02-25,512.450989,518.27002,462.546997,462.546997,10357777,0.0,1.0
2000-02-28,499.533997,499.533997,441.369995,458.134003,6794370,0.0,1.0
2000-02-29,460.687988,476.885986,421.487,422.651001,12049820,0.0,1.0
2000-03-01,423.216003,456.453003,417.072998,456.453003,9703912,0.0,1.0
2000-03-02,466.540009,492.954987,460.721008,492.954987,10074866,0.0,1.0
2000-03-03,507.601013,507.601013,466.21701,476.885986,12222545,0.0,1.0
2000-03-06,494.667999,506.308014,481.735992,500.165009,9465285,0.0,1.0
2000-03-07,504.35199,508.894012,472.036987,476.854004,8348834,0.0,1.0
2000-03-08,475.269989,490.789001,460.721008,462.984009,8289226,0.0,1.0
2000-03-09,472.036987,485.291992,433.270996,435.825989,7923388,0.0,1.0
2000-03-10,444.231995,459.104004,404.140991,406.72699,10559802,0.0,1.0
2000-03-13,406.72699,406.72699,406.72699,406.72699,0,0.0,1.0
2000-03-14,392.825012,425.980988,378.987,425.980988,15436894,0.0,1.0
2000-03-15,425.980988,425.980988,391.903992,391.903992,8536646,0.0,1.0
2000-03-16,389.268005,389.268005,360.558014,360.558014,8128988,0.0,1.0
2000-03-17,360.558014,360.558014,360.558014,360.558014,0,0.0,1.0
2000-03-20,360.558014,360.558014,360.558014,360.558014,0,0.0,1.0
2000-03-21,355.321014,358.553986,331.718994,331.718994,5040053,0.0,1.0
2000-03-22,324.928986,353.057007,305.529999,307.082001,17766676,0.0,1.0
2000-03-23,311.673004,331.638,311.673004,331.638,3821777,0.0,1.0
2000-03-24,352.411011,358.165985,338.832001,348.531006,7129179,0.0,1.0
2000-03-27,366.636993,372.779999,345.97699,359.21701,11182335,0.0,1.0
2000-03-28,355.321014,355.644012,331.799988,335.921997,8020919,0.0,1.0
2000-03-29,339.154999,350.794006,333.011993,340.609985,6739441,0.0,1.0
2000-03-30,336.278015,342.710999,313.371002,332.704987,10456010,0.0,1.0
2000-03-31,331.395996,339.154999,306.177002,330.425995,14049374,0.0,1.0
2000-04-03,339.55899,347.173004,303.994995,303.994995,8166336,0.0,1.0
2000-04-04,281.282013,281.282013,279.682007,279.682007,315441,0.0,1.0
2000-04-05,257.308014,273.166992,257.308014,257.308014,5754268,0.0,1.0
2000-04-06,244.100998,277.886993,236.729996,271.583008,9637886,0.0,1.0
2000-04-07,277.726013,293.292999,277.726013,293.292999,2018114,0.0,1.0
2000-04-10,316.748993,316.748993,316.748993,316.748993,70269,0.0,1.0
2000-04-11,333.011993,333.011993,333.011993,333.011993,3092981,0.0,1.0
2000-04-12,335.921997,354.351013,326.707001,343.924011,11623790,0.0,1.0
2000-04-13,339.477997,339.477997,316.425995,325.252991,9902460,0.0,1.0
2000-04-14,325.252991,325.252991,325.252991,325.252991,0,0.0,1.0
2000-04-17,299.242004,299.242004,299.242004,299.242004,89863,0.0,1.0
2000-04-18,299.242004,323.166992,275.316986,275.316986,8621666,0.0,1.0
2000-04-19,275.316986,285.808014,253.298996,253.298996,4670967,0.0,1.0
2000-04-20,240.867996,240.867996,233.044006,233.044006,851457,0.0,1.0
2000-04-21,233.044006,233.044006,233.044006,233.044006,0,0.0,1.0
2000-04-24,246.735992,246.735992,216.942993,216.942993,1268,0.0,1.0
2000-04-25,197.253006,231.539993,197.253006,231.539993,15608774,0.0,1.0
2000-04-26,231.539993,231.539993,231.539993,231.539993,0,0.0,1.0
2000-04-27,247.042999,247.382996,228.904999,229.875,7631476,0.0,1.0
2000-04-28,231.136002,244.035995,219.852997,229.552002,21830030,0.0,1.0
2000-05-01,229.552002,229.552002,229.552002,229.552002,0,0.0,1.0
2000-05-02,239.251007,240.867996,202.022003,202.669006,11321012,0.0,1.0
2000-05-03,186.470993,186.470993,186.470993,186.470993,927894,0.0,1.0
2000-05-04,192.856003,216.522995,192.451996,215.375,11089373,0.0,1.0
2000-05-05,215.375,215.375,215.375,215.375,0,0.0,1.0
2000-05-08,215.375,215.375,215.375,215.375,0,0.0,1.0
2000-05-09,215.375,215.375,215.375,215.375,0,0.0,1.0
2000-05-10,243.778,243.778,200.712997,200.712997,20356259,0.0,1.0
2000-05-11,184.934998,184.934998,176.641998,176.641998,8521908,0.0,1.0
2000-05-12,162.884995,170.110992,155.449005,155.449005,13838334,0.0,1.0
2000-05-15,143.016998,172.649002,136.809998,170.061996,35977325,0.0,1.0
2000-05-16,171.356003,174.266006,158.423004,168.688004,20049413,0.0,1.0
2000-05-17,168.768997,179.438995,155.675003,161.979996,14107667,0.0,1.0
2000-05-18,158.423004,169.738998,156.807007,167.557007,12592945,0.0,1.0
2000-05-19,169.093002,169.093002,150.339996,151.794998,10696725,0.0,1.0
2000-05-22,147.753998,148.076996,137.505005,139.348007,10688402,0.0,1.0
2000-05-23,138.716995,143.195007,128.210007,142.904007,15581324,0.0,1.0
2000-05-24,142.257996,142.257996,131.475006,136.600006,10857916,0.0,1.0
2000-05-25,138.345993,145.490997,136.761002,139.735992,13315317,0.0,1.0
2000-05-26,139.024002,139.671005,131.005997,132.235001,9756038,0.0,1.0
2000-05-29,132.557999,145.490997,121.889,145.167007,19776043,0.0,1.0
2000-05-30,146.783997,160.039993,142.645996,158.067993,17001977,0.0,1.0
